project_id,reinforcement_ratio_kg_per_m3,num_unique_required_lengths,stock_length_policy,cutting_optimization_usage,bim_integration_level,design_revisions_per_month,supervision_index_1to5,material_control_level_1to3,storage_handling_index_1to5,offcut_reuse_policy_0to2,change_orders_per_month,contract_type,lead_time_days,order_frequency_per_month,project_phase,steel_waste_percentage
P1597,151.9,36,standard_12m,2,0,4,4,2,1,2,0,lump_sum,27,2,frame,5.66
P3712,165.9,9,standard_12m,1,2,4,3,3,2,1,3,remeasurement,10,7,foundation,11.53
P3634,175.3,27,standard_12m,0,0,3,5,2,1,2,5,remeasurement,13,6,foundation,12.8
P3364,156.4,34,standard_12m,0,0,4,1,2,3,1,2,remeasurement,6,8,frame,14.27
P3643,93.9,35,standard_12m,2,1,6,3,2,3,2,5,remeasurement,25,3,slab_finishing,10.66
P1518,110.0,16,mixed_lengths,2,0,2,2,1,1,0,1,lump_sum,26,2,slab_finishing,9.81
P3793,134.4,11,custom_lengths,2,1,1,3,2,2,1,2,lump_sum,25,7,frame,2.1
P1573,172.0,15,mixed_lengths,0,2,2,2,2,3,1,0,lump_sum,19,7,foundation,7.07
P3725,138.3,22,mixed_lengths,2,0,5,3,2,2,2,3,lump_sum,15,6,frame,6.35
P2097,101.4,12,standard_12m,1,3,4,4,2,1,2,5,design_build,30,3,slab_finishing,7.7
P2947,115.7,30,mixed_lengths,1,0,3,3,2,2,1,1,remeasurement,29,4,slab_finishing,10.24
P2448,152.4,36,standard_12m,0,0,1,2,1,1,1,3,lump_sum,23,4,frame,12.53
P2584,97.8,9,standard_12m,1,0,3,3,1,2,0,0,lump_sum,30,5,slab_finishing,11.19
P3596,119.3,31,mixed_lengths,1,2,4,3,3,3,0,3,design_build,23,2,slab_finishing,8.87
P1964,142.2,6,standard_12m,1,0,3,3,2,3,0,0,lump_sum,22,3,frame,9.75
P2018,111.7,38,standard_12m,2,0,5,4,2,1,1,5,design_build,24,3,slab_finishing,11.07
P3908,72.9,6,custom_lengths,0,2,2,3,3,4,1,3,lump_sum,27,2,slab_finishing,6.34
P1358,105.9,15,mixed_lengths,1,2,2,4,2,3,0,3,lump_sum,23,7,slab_finishing,7.09
P1736,170.9,17,mixed_lengths,2,1,0,4,2,1,2,0,lump_sum,21,7,foundation,1.18
P2784,146.3,23,standard_12m,2,1,2,4,2,1,1,2,design_build,18,3,frame,6.3
P2608,133.1,7,custom_lengths,1,2,3,2,2,1,0,5,lump_sum,23,4,frame,8.44
P1259,110.6,29,mixed_lengths,0,2,5,3,3,2,0,4,remeasurement,11,7,slab_finishing,15.0
P3771,141.3,23,mixed_lengths,2,0,1,3,1,2,1,0,lump_sum,10,7,frame,5.9
P3642,113.4,5,standard_12m,0,0,0,4,3,3,1,1,lump_sum,14,6,slab_finishing,7.74
P3742,174.4,27,mixed_lengths,1,1,5,1,1,1,0,3,design_build,17,1,foundation,15.0
P3383,99.1,5,standard_12m,0,0,6,3,3,2,0,5,lump_sum,25,5,slab_finishing,15.0
P2029,177.1,26,standard_12m,1,3,3,4,3,2,1,0,remeasurement,15,8,foundation,6.14
P3408,168.8,8,custom_lengths,1,1,5,4,3,4,0,5,design_build,25,5,foundation,6.37
P1969,144.2,8,standard_12m,0,0,2,4,2,3,0,1,design_build,17,7,frame,10.49
P3990,83.2,8,custom_lengths,2,1,3,3,3,2,2,5,design_build,13,5,slab_finishing,4.3
P1819,153.1,27,standard_12m,0,1,5,4,2,3,1,4,remeasurement,19,2,frame,14.35
P3716,99.1,5,standard_12m,1,3,3,2,2,2,1,4,lump_sum,23,3,slab_finishing,11.09
P3325,174.6,28,mixed_lengths,1,2,2,2,2,1,0,3,lump_sum,17,5,foundation,11.05
P1456,96.8,10,custom_lengths,0,1,2,1,2,1,0,3,lump_sum,28,1,slab_finishing,10.87
P1462,162.2,5,custom_lengths,2,2,3,5,2,3,1,2,lump_sum,17,3,foundation,3.26
P3344,175.5,29,standard_12m,0,0,1,3,1,1,0,2,lump_sum,30,3,foundation,15.0
P3688,150.5,19,mixed_lengths,0,0,6,1,2,2,1,5,remeasurement,12,6,frame,15.0
P1381,122.3,17,standard_12m,1,1,2,4,2,1,1,1,design_build,28,3,slab_finishing,6.32
P2891,118.5,24,standard_12m,2,3,5,3,1,1,0,4,remeasurement,15,4,slab_finishing,14.38
P2832,143.0,26,standard_12m,0,2,4,3,2,1,1,1,lump_sum,26,7,frame,9.07
P3308,180.0,34,mixed_lengths,1,2,3,2,2,1,1,5,design_build,14,4,foundation,11.68
P2506,118.0,23,standard_12m,2,0,3,4,2,2,1,4,remeasurement,19,4,slab_finishing,12.68
P1805,97.9,22,standard_12m,1,1,1,2,1,1,2,0,design_build,24,4,slab_finishing,6.56
P3438,101.5,36,standard_12m,2,2,3,1,2,3,2,1,lump_sum,30,2,slab_finishing,8.45
P1756,168.9,32,standard_12m,1,1,3,3,1,1,1,1,lump_sum,27,1,foundation,11.34
P3515,100.5,27,mixed_lengths,1,0,3,4,2,1,1,1,design_build,19,1,slab_finishing,8.18
P2253,136.3,12,custom_lengths,0,2,1,2,1,2,0,1,lump_sum,25,6,frame,7.42
P1869,152.2,28,standard_12m,2,1,5,4,2,1,2,2,design_build,21,4,frame,5.38
P3064,136.8,32,standard_12m,1,0,4,3,3,3,0,2,remeasurement,18,4,frame,12.99
P2410,105.2,32,mixed_lengths,1,1,1,3,1,1,1,3,remeasurement,23,2,slab_finishing,10.93
P3360,180.0,31,standard_12m,0,1,3,4,2,3,1,3,design_build,24,4,foundation,10.99
P3287,137.1,30,standard_12m,2,2,3,2,1,1,1,5,remeasurement,15,6,frame,13.63
P3858,164.7,17,standard_12m,1,2,4,4,2,3,0,4,design_build,16,5,foundation,11.65
P2173,113.9,19,standard_12m,1,0,2,4,2,2,1,2,lump_sum,24,7,slab_finishing,8.46
P1542,102.7,31,standard_12m,1,2,3,5,2,3,0,3,remeasurement,10,7,slab_finishing,12.74
P3104,168.0,16,mixed_lengths,0,0,6,1,2,3,1,5,lump_sum,13,4,foundation,14.09
P2255,159.6,32,mixed_lengths,2,2,6,3,2,3,1,3,remeasurement,22,5,frame,10.43
P2766,149.7,34,standard_12m,2,2,6,2,2,2,2,3,design_build,18,5,frame,10.15
P2765,168.1,27,standard_12m,0,0,1,2,2,3,0,2,lump_sum,22,4,foundation,13.36
P2289,161.3,24,standard_12m,1,1,3,4,3,4,2,3,design_build,13,5,foundation,7.05
P3421,133.0,29,mixed_lengths,2,3,1,4,2,2,1,1,lump_sum,17,6,frame,3.37
P3527,104.4,20,standard_12m,1,1,1,2,2,1,0,0,design_build,8,7,slab_finishing,8.22
P2343,170.7,17,standard_12m,1,0,1,4,2,3,1,0,lump_sum,18,6,foundation,7.76
P2525,124.2,15,standard_12m,0,0,6,3,2,2,1,5,remeasurement,24,3,frame,15.0
P3894,167.9,23,standard_12m,0,1,5,4,3,2,1,4,remeasurement,15,6,foundation,14.66
P3686,100.7,25,standard_12m,0,0,2,3,2,1,0,1,remeasurement,14,7,slab_finishing,13.21
P3194,123.2,37,standard_12m,1,0,1,2,2,2,1,1,lump_sum,30,1,slab_finishing,10.45
P3420,148.2,27,mixed_lengths,1,0,3,4,2,2,2,2,design_build,16,6,frame,5.31
P2677,140.1,19,standard_12m,2,2,3,2,2,1,2,1,lump_sum,30,5,frame,5.39
P2286,156.6,15,mixed_lengths,0,2,0,4,2,1,1,1,lump_sum,14,7,frame,6.21
P1435,105.3,33,mixed_lengths,2,2,6,2,2,1,1,5,design_build,28,2,slab_finishing,11.15
P2727,104.9,16,mixed_lengths,0,1,2,3,2,3,1,1,design_build,26,3,slab_finishing,5.89
P1237,175.4,30,standard_12m,2,0,3,3,2,1,1,1,remeasurement,17,4,foundation,11.74
P3347,109.2,33,mixed_lengths,0,1,2,5,2,3,1,1,design_build,23,7,slab_finishing,4.36
P1109,145.7,28,mixed_lengths,0,1,6,2,2,3,2,1,lump_sum,17,6,frame,9.08
P3274,173.7,23,standard_12m,0,0,2,4,2,2,1,2,design_build,30,2,foundation,10.98
P1163,124.6,24,standard_12m,0,1,4,3,2,1,2,2,remeasurement,22,5,slab_finishing,10.03
P1288,157.1,30,standard_12m,1,0,5,1,2,2,0,2,lump_sum,25,2,foundation,14.91
P1252,152.0,36,standard_12m,1,1,3,3,3,4,2,1,lump_sum,30,4,frame,6.19
P3583,100.4,10,custom_lengths,1,0,3,4,2,1,1,1,design_build,24,4,slab_finishing,4.22
P2964,83.2,8,standard_12m,0,0,4,5,2,2,1,4,remeasurement,13,5,slab_finishing,13.99
P2288,126.8,6,standard_12m,2,0,4,3,2,3,2,3,remeasurement,18,4,frame,9.45
P1744,176.6,31,mixed_lengths,1,1,4,3,2,2,1,2,design_build,19,6,foundation,9.3
P2206,165.7,8,standard_12m,1,1,2,3,1,2,1,1,lump_sum,21,2,foundation,9.88
P3419,157.1,31,mixed_lengths,1,2,4,2,1,1,0,3,lump_sum,18,8,frame,12.32
P2391,138.7,30,mixed_lengths,1,0,1,2,2,3,1,2,lump_sum,18,5,frame,8.79
P3333,97.3,12,standard_12m,2,1,3,2,1,1,1,3,design_build,26,4,slab_finishing,9.75
P1990,100.3,36,standard_12m,2,1,3,2,2,3,1,2,lump_sum,30,4,slab_finishing,8.95
P1839,106.9,32,mixed_lengths,0,2,4,2,2,1,1,0,lump_sum,28,1,slab_finishing,10.72
P2149,171.1,32,standard_12m,1,0,1,4,2,3,1,3,lump_sum,8,8,frame,9.84
P2221,155.6,36,standard_12m,1,2,1,5,2,1,0,3,design_build,28,2,frame,9.02
P2743,172.4,15,mixed_lengths,1,3,0,5,2,2,0,1,design_build,24,3,foundation,3.39
P3400,111.8,33,mixed_lengths,0,1,2,3,2,1,2,3,remeasurement,11,6,slab_finishing,10.31
P1461,180.0,22,mixed_lengths,1,1,2,3,2,3,1,2,lump_sum,29,3,foundation,8.04
P2309,180.0,37,standard_12m,2,0,2,4,3,3,2,5,remeasurement,14,7,foundation,9.09
P2435,178.1,34,mixed_lengths,2,2,4,2,2,1,2,4,remeasurement,22,4,foundation,9.71
P1157,175.7,19,mixed_lengths,1,1,6,4,2,1,1,4,lump_sum,19,8,foundation,9.63
P2911,102.3,5,standard_12m,0,0,3,2,2,1,1,5,lump_sum,20,5,slab_finishing,14.66
P3359,136.9,14,custom_lengths,1,1,3,3,1,1,0,3,remeasurement,13,5,frame,10.78
P1677,127.3,21,mixed_lengths,0,0,0,4,3,4,0,3,lump_sum,23,1,slab_finishing,8.25
P3848,164.6,17,mixed_lengths,0,0,4,1,2,3,2,3,remeasurement,15,4,foundation,12.53
P2872,166.5,14,standard_12m,2,0,3,2,2,3,2,2,lump_sum,30,4,foundation,7.98
P1238,138.1,26,mixed_lengths,1,2,2,5,3,3,1,2,lump_sum,18,2,frame,4.21
P3917,141.7,26,standard_12m,1,0,4,1,2,3,1,4,remeasurement,30,3,frame,13.2
P2091,79.4,9,standard_12m,1,2,1,3,2,1,0,4,lump_sum,30,6,slab_finishing,11.18
P3870,135.4,17,standard_12m,0,2,1,3,2,1,1,3,remeasurement,20,3,frame,10.69
P1100,179.7,19,mixed_lengths,2,0,2,4,3,3,2,4,lump_sum,30,8,foundation,4.7
P1315,115.5,28,standard_12m,0,1,2,3,3,3,1,1,lump_sum,25,7,slab_finishing,6.83
P2023,110.6,26,mixed_lengths,1,1,6,1,2,1,0,4,lump_sum,30,1,slab_finishing,14.28
P3746,145.1,22,mixed_lengths,1,2,1,3,2,2,1,3,design_build,16,7,frame,5.03
P1767,127.2,16,standard_12m,0,0,2,4,3,2,0,0,lump_sum,21,6,slab_finishing,9.62
P2344,142.0,8,standard_12m,0,2,3,3,1,1,0,5,design_build,16,5,frame,14.65
P1261,107.1,7,standard_12m,0,0,4,4,2,3,1,3,lump_sum,24,7,slab_finishing,11.11
P2451,133.3,14,custom_lengths,1,1,4,3,3,4,0,4,remeasurement,17,6,slab_finishing,7.66
P3834,140.1,32,mixed_lengths,1,1,2,3,1,1,0,5,design_build,17,5,frame,12.53
P1195,99.2,7,standard_12m,0,0,6,4,2,3,1,5,remeasurement,17,4,slab_finishing,15.0
P2775,148.0,27,standard_12m,0,0,6,2,2,1,1,2,remeasurement,14,8,frame,15.0
P3841,160.6,16,standard_12m,0,0,1,2,2,3,2,0,lump_sum,9,3,foundation,8.23
P2735,168.4,19,mixed_lengths,1,2,2,3,1,1,0,3,lump_sum,30,2,foundation,11.59
P1179,169.5,19,standard_12m,1,0,1,4,2,1,0,1,lump_sum,3,7,foundation,10.04
P3922,137.8,19,standard_12m,2,1,2,4,2,2,2,2,lump_sum,17,8,frame,4.97
P1340,161.7,11,custom_lengths,0,0,0,5,3,4,1,1,lump_sum,30,1,foundation,3.59
P2099,96.6,21,standard_12m,0,0,2,3,2,2,0,0,lump_sum,18,4,slab_finishing,11.9
P2543,103.0,34,mixed_lengths,1,0,2,3,2,2,0,1,lump_sum,25,1,slab_finishing,10.34
P1748,161.7,18,mixed_lengths,0,0,6,2,1,1,1,4,remeasurement,23,4,foundation,15.0
P3755,95.2,9,custom_lengths,2,0,3,4,2,3,2,3,design_build,22,3,slab_finishing,2.74
P1662,119.2,20,standard_12m,0,1,6,4,2,3,1,3,design_build,21,1,slab_finishing,11.29
P1480,109.2,31,standard_12m,1,0,2,3,1,1,1,4,design_build,19,6,slab_finishing,11.28
P3138,125.2,11,custom_lengths,1,0,6,3,2,2,1,3,remeasurement,19,2,frame,11.53
P1871,124.4,30,standard_12m,0,0,3,4,2,1,1,0,lump_sum,9,6,slab_finishing,11.48
P2453,138.2,21,standard_12m,0,1,3,2,2,3,1,2,lump_sum,26,6,frame,9.48
P3952,112.5,32,standard_12m,0,0,1,4,2,3,1,3,lump_sum,30,1,slab_finishing,12.17
P1549,180.0,18,mixed_lengths,1,2,3,3,2,1,0,1,lump_sum,13,8,foundation,7.61
P3020,180.0,32,standard_12m,2,0,4,3,2,3,1,3,design_build,17,5,foundation,10.98
P3708,174.3,14,standard_12m,1,0,5,4,2,1,0,4,remeasurement,17,3,foundation,15.0
P1742,92.3,23,standard_12m,1,0,2,1,2,2,2,2,lump_sum,30,1,slab_finishing,9.39
P3415,101.6,29,mixed_lengths,0,0,3,3,3,2,1,2,lump_sum,17,3,slab_finishing,9.99
P3637,174.2,29,standard_12m,2,3,5,2,1,1,0,1,lump_sum,24,1,foundation,10.89
P3566,156.0,21,mixed_lengths,1,3,2,3,2,3,1,1,remeasurement,19,8,foundation,6.12
P3292,96.8,7,custom_lengths,0,1,4,3,2,3,1,2,lump_sum,18,7,slab_finishing,8.54
P2909,92.6,23,standard_12m,2,1,6,4,2,1,2,1,design_build,21,5,slab_finishing,6.15
P1790,149.5,18,mixed_lengths,0,2,4,1,2,2,1,2,design_build,3,7,frame,9.5
P3120,162.6,6,standard_12m,1,0,6,3,3,4,0,5,remeasurement,14,5,foundation,15.0
P2446,158.6,34,standard_12m,2,2,2,2,1,2,1,1,lump_sum,25,5,frame,6.85
P1247,166.5,9,custom_lengths,1,3,3,3,1,2,0,0,design_build,24,5,foundation,4.97
P1829,150.6,39,standard_12m,0,1,6,1,2,1,1,2,remeasurement,5,5,frame,15.0
P2124,141.1,30,standard_12m,0,0,2,4,3,3,2,3,design_build,29,4,frame,8.66
P3720,127.5,18,standard_12m,1,0,4,4,2,1,1,5,lump_sum,23,6,frame,11.45
P1626,134.5,13,custom_lengths,1,1,2,3,3,3,2,2,lump_sum,21,5,frame,1.27
P1347,88.0,39,standard_12m,1,0,3,3,2,2,0,2,design_build,19,6,slab_finishing,12.09
P1278,160.9,11,custom_lengths,1,2,0,3,3,4,1,2,design_build,22,3,foundation,1.87
P2783,114.6,22,standard_12m,0,1,5,5,2,3,0,3,remeasurement,22,2,slab_finishing,14.64
P3280,180.0,36,standard_12m,1,1,2,1,2,2,0,5,remeasurement,17,5,foundation,15.0
P1655,170.5,13,custom_lengths,2,2,3,3,2,3,2,4,remeasurement,19,6,foundation,2.33
P2213,116.0,31,standard_12m,1,0,2,2,2,2,1,4,design_build,18,6,slab_finishing,10.02
P1838,180.0,32,mixed_lengths,0,0,6,2,1,1,1,2,design_build,30,5,foundation,14.67
P3624,139.2,8,custom_lengths,1,2,2,3,3,2,0,1,lump_sum,14,8,frame,3.69
P3588,170.6,26,mixed_lengths,2,2,1,4,2,1,2,2,design_build,28,3,frame,1.66
P3350,165.7,32,mixed_lengths,1,0,6,4,2,3,2,5,remeasurement,17,6,foundation,12.12
P2709,141.7,19,standard_12m,2,3,3,3,2,2,2,3,lump_sum,25,6,frame,3.18
P3023,142.5,38,standard_12m,0,2,6,2,1,1,1,3,design_build,11,7,frame,14.98
P1976,169.8,17,standard_12m,1,1,3,5,2,2,1,3,design_build,27,1,foundation,10.05
P1445,160.6,16,standard_12m,0,0,5,2,2,1,1,2,design_build,24,5,foundation,13.0
P1617,114.0,29,standard_12m,1,0,2,1,2,2,0,0,lump_sum,30,4,slab_finishing,10.83
P2474,179.9,26,standard_12m,1,0,5,4,3,4,1,1,design_build,8,8,foundation,6.78
P2778,148.5,22,mixed_lengths,0,0,2,4,2,3,1,3,design_build,23,5,frame,9.1
P3517,165.2,39,standard_12m,0,1,1,2,1,1,0,0,lump_sum,30,2,frame,12.38
P2244,160.4,32,standard_12m,2,2,6,3,1,1,0,1,remeasurement,13,8,frame,12.87
P3995,91.0,11,standard_12m,2,1,1,5,3,2,1,0,lump_sum,18,3,slab_finishing,3.17
P3552,84.9,26,standard_12m,0,0,5,2,2,2,1,5,lump_sum,21,1,slab_finishing,15.0
P1547,137.3,20,standard_12m,1,3,6,1,1,1,1,4,design_build,18,5,frame,12.23
P3210,131.8,8,custom_lengths,2,2,2,4,2,3,1,3,lump_sum,25,4,frame,1.94
P2623,180.0,34,mixed_lengths,1,2,3,5,2,2,1,1,design_build,10,7,foundation,5.8
P1263,97.9,35,standard_12m,1,0,4,5,3,4,2,2,design_build,23,3,slab_finishing,6.06
P2397,64.1,8,custom_lengths,0,0,3,5,2,3,1,5,design_build,23,2,slab_finishing,9.18
P3353,175.7,25,standard_12m,1,1,2,4,2,3,1,1,lump_sum,30,2,foundation,9.1
P2815,129.2,25,standard_12m,0,1,2,3,1,2,0,0,design_build,24,4,frame,10.54
P1353,173.1,32,standard_12m,1,1,3,1,2,1,2,3,lump_sum,26,7,foundation,10.78
P2075,180.0,29,mixed_lengths,0,1,4,1,2,2,0,3,design_build,12,6,foundation,13.64
P1208,91.1,25,standard_12m,1,1,3,3,2,3,1,2,lump_sum,27,2,slab_finishing,9.32
P1613,177.3,18,standard_12m,1,1,5,1,2,3,2,4,lump_sum,25,7,foundation,11.62
P3090,158.9,16,standard_12m,0,0,4,3,3,3,0,3,design_build,22,3,frame,12.74
P3099,172.0,31,mixed_lengths,0,2,2,3,3,4,2,0,lump_sum,19,5,foundation,5.04
P2498,98.6,8,standard_12m,2,0,1,5,2,1,2,2,lump_sum,3,7,slab_finishing,5.68
P2135,112.6,13,standard_12m,1,1,4,4,2,2,2,4,lump_sum,15,5,slab_finishing,9.02
P3880,89.1,25,standard_12m,2,0,2,2,2,3,2,1,design_build,29,2,slab_finishing,6.46
P3078,145.5,34,mixed_lengths,1,1,5,3,2,2,2,4,design_build,12,7,frame,8.07
P1057,165.9,7,standard_12m,0,0,0,3,2,2,0,1,lump_sum,30,7,foundation,9.94
P3483,133.9,9,standard_12m,0,0,4,2,2,3,0,3,lump_sum,26,8,frame,14.5
P1811,128.9,13,standard_12m,1,0,4,2,2,2,0,1,remeasurement,24,3,frame,13.86
P3195,154.9,32,standard_12m,1,2,1,5,3,3,0,1,design_build,24,3,frame,3.87
P1561,133.5,24,standard_12m,1,3,3,1,2,1,2,3,lump_sum,24,6,frame,8.17
P3943,132.6,18,mixed_lengths,1,0,4,1,2,1,1,4,remeasurement,15,3,frame,13.36
P1229,166.3,32,mixed_lengths,0,0,6,4,2,1,1,2,design_build,22,4,frame,11.31
P3509,155.0,23,mixed_lengths,1,2,6,3,1,2,1,5,design_build,25,3,foundation,10.77
P2721,117.3,38,standard_12m,1,1,4,3,3,3,0,5,design_build,24,3,slab_finishing,11.13
P3179,106.2,16,standard_12m,2,0,3,3,2,1,2,5,remeasurement,20,3,slab_finishing,11.58
P2450,134.6,7,standard_12m,2,3,2,2,2,2,1,2,design_build,18,5,frame,6.35
P2234,141.9,15,standard_12m,0,0,3,2,1,1,0,3,design_build,18,7,frame,15.0
P2071,173.5,17,standard_12m,1,1,1,5,2,3,0,2,design_build,18,5,foundation,8.48
P3849,162.1,19,mixed_lengths,1,0,0,3,3,3,0,1,lump_sum,15,4,foundation,6.98
P2037,120.1,30,mixed_lengths,1,1,1,3,2,3,0,1,lump_sum,26,2,slab_finishing,6.84
P1889,151.2,26,standard_12m,1,1,5,3,2,1,2,4,lump_sum,28,4,frame,10.88
P2053,129.9,9,standard_12m,2,0,0,5,2,1,2,3,lump_sum,30,4,frame,5.19
P1707,164.6,10,custom_lengths,1,0,5,3,3,3,2,1,design_build,30,6,foundation,3.2
P1424,167.8,11,standard_12m,2,0,6,1,2,2,1,4,remeasurement,18,5,foundation,15.0
P1069,98.0,15,mixed_lengths,1,0,4,2,2,1,1,1,lump_sum,30,3,slab_finishing,9.9
P3249,109.0,8,standard_12m,0,0,2,1,1,2,1,0,lump_sum,30,3,slab_finishing,12.85
P3535,90.0,15,standard_12m,0,1,3,4,2,2,1,4,remeasurement,27,2,slab_finishing,12.6
P3839,164.1,15,standard_12m,1,0,3,3,2,3,0,3,lump_sum,30,2,foundation,13.58
P3406,80.7,26,standard_12m,1,1,5,1,2,1,2,1,design_build,28,1,slab_finishing,10.25
P3963,180.0,30,standard_12m,0,1,5,3,2,3,1,4,design_build,30,2,foundation,13.35
P3581,102.8,36,standard_12m,0,2,2,3,1,1,0,2,lump_sum,20,3,slab_finishing,13.09
P3092,132.6,9,standard_12m,0,0,0,4,2,1,2,2,lump_sum,23,5,frame,7.13
P1940,116.0,32,mixed_lengths,0,0,3,3,2,2,0,5,remeasurement,15,6,slab_finishing,14.67
P1620,136.2,30,standard_12m,1,2,4,5,2,2,1,1,design_build,11,8,frame,6.85
P3519,115.3,20,standard_12m,0,0,3,3,1,1,1,1,design_build,16,6,slab_finishing,11.63
P2196,177.8,31,standard_12m,0,0,1,1,1,2,0,1,lump_sum,29,1,foundation,15.0
P3067,161.5,7,standard_12m,2,1,5,3,2,1,2,5,design_build,18,7,foundation,10.86
P2032,107.2,29,standard_12m,0,1,3,4,2,3,0,0,lump_sum,30,2,slab_finishing,12.07
P2505,92.4,10,standard_12m,1,0,1,4,3,4,0,2,lump_sum,25,3,slab_finishing,7.11
P2576,180.0,39,standard_12m,0,2,0,2,1,1,1,1,lump_sum,24,5,foundation,12.34
P3130,167.5,10,standard_12m,0,1,1,4,2,3,1,0,lump_sum,20,7,foundation,6.71
P3044,147.8,34,standard_12m,1,2,4,3,3,2,1,1,design_build,14,2,frame,7.9
P2395,154.0,20,standard_12m,1,1,4,3,3,4,1,2,design_build,17,8,frame,5.52
P1279,93.4,31,standard_12m,1,1,6,1,2,1,1,3,design_build,29,3,slab_finishing,13.74
P2465,135.4,34,standard_12m,2,0,4,4,2,2,2,1,lump_sum,30,2,frame,8.07
P2503,135.1,10,standard_12m,2,2,2,1,2,2,2,2,lump_sum,25,3,frame,6.19
P3282,166.4,19,standard_12m,0,2,2,3,1,2,1,3,lump_sum,19,4,foundation,11.18
P3838,160.9,24,standard_12m,0,1,3,4,2,2,1,1,lump_sum,20,3,foundation,11.45
P3723,123.8,24,standard_12m,2,1,4,4,2,3,2,2,lump_sum,25,5,slab_finishing,6.88
P1553,131.6,23,mixed_lengths,0,1,2,2,1,1,1,1,remeasurement,17,2,frame,10.61
P1834,174.3,13,standard_12m,2,2,3,1,2,1,2,1,remeasurement,12,8,foundation,8.03
P1962,109.8,23,mixed_lengths,0,1,3,3,2,3,2,5,design_build,30,1,slab_finishing,8.88
P1596,117.1,32,standard_12m,0,0,2,2,2,2,2,2,design_build,26,3,slab_finishing,9.46
P3451,119.5,29,standard_12m,2,1,5,4,2,3,2,1,remeasurement,23,6,slab_finishing,4.85
P1802,144.1,22,standard_12m,0,0,3,2,2,3,1,1,lump_sum,27,4,frame,9.73
P3136,172.9,19,mixed_lengths,0,0,4,3,2,1,0,2,lump_sum,30,1,foundation,12.32
P3985,145.9,20,standard_12m,1,0,2,4,2,1,0,5,lump_sum,16,6,frame,12.86
